service_name,label_corto,grupo_sustitucion,nivel,modalidad
META CAPI GATEWAY: Implementation in the Client's Own Environment + Signals,META CAPI GW + Signals,META CAPI Gateway,2,Proyecto
Consulting Ad Hoc,Consulting Ad Hoc,,1,Recurrente
Cloud Ad Hoc,Cloud Ad Hoc,,1,Recurrente
CRM Ad Hoc,CRM Ad Hoc,,1,Recurrente
CX Ad Hoc,CX Ad Hoc,,1,Recurrente
Product Recommendation Engine,Product Reco Engine,,1,Proyecto
LTV Prediction​​,LTV Prediction,,1,Proyecto
Churn Prediction​​,Churn Prediction,,1,Proyecto
Purchase Prediction​​,Purchase Prediction,,1,Proyecto
Advanced Segmentation Cluster,Segmentacion avanzada,,1,Proyecto
Advanced Segmentation Cluster ​with CRMint ​,Segmentacion + CRMint,,1,Proyecto
BI Services,BI Services,,1,Proyecto
Research Ad Hoc,Research Ad Hoc,,1,Recurrente
ABCD Detector - Basic (20 Videos) per month,ABCD Basic Mensual,ABCD Detector,1,Mensual
ABCD Detector - Basic (20 Videos) Annual Subscription,ABCD Basic Anual,ABCD Detector,1,Anual
ABCD Detector - Pro (100 Videos) per month,ABCD Pro Mensual,ABCD Detector,2,Mensual
ABCD Detector - Pro (100 Videos) Annual Subscription,ABCD Pro Anual,ABCD Detector,2,Anual
ABCD Detector - Enterprise (500 Videos) per month,ABCD Enterprise Mensual,ABCD Detector,3,Mensual
ABCD Detector - Enterprise (500 Videos) Annual Subscription,ABCD Enterprise Anual,ABCD Detector,3,Anual
C-GenIA - Basic (200 images) per month,C-GenIA Basic Mensual,C-GenIA,1,Mensual
C-GenIA - Basic (200 images) Annual Subscription,C-GenIA Basic Anual,C-GenIA,1,Anual
C-GenIA - Intermediate (500 images) per month,C-GenIA Intermediate Mens.,C-GenIA,2,Mensual
C-GenIA - Intermediate (500 images) Annual Subscription,C-GenIA Intermediate Anual,C-GenIA,2,Anual
C-GenIA - Advanced (1000 images) per month,C-GenIA Advanced Mensual,C-GenIA,3,Mensual
C-GenIA - Advanced (1000 images) Annual Subscription,C-GenIA Advanced Anual,C-GenIA,3,Anual
Meridian Google Founds,Meridian,MMM,2,Proyecto
Creative Tech Ad Hoc,Creative Tech Ad Hoc,,1,Recurrente
SEO,SEO,,1,Proyecto
Business Inteligence,Business Inteligence,,1,Proyecto
Converged Report,Converged Report,,1,Proyecto
People data fee Media,People data fee Media,,1,Recurrente
Audiencias,Audiencias,,1,Proyecto
Licencias GA4 360,Licencias GA4 360,,1,Licencia
Licencias SA/DV360,Licencias SA/DV360,,1,Licencia
FTE Cliente directo,FTE Cliente directo,,1,Recurrente
Chat2Flow,Chat2Flow,,1,Proyecto
Talent2Flow,Talent2Flow,,1,Proyecto
