service_name,servicio_normalizado,label_corto,familia,subfamilia,pilar,modelo_comercial,ticket_tipo,en_catalogo,notas
Licencias GA4 360,Licencias GA4 360,Licencias GA4 360,Licencias & Plataformas,Licencias Analytics,CSA - Tech,Licencia,Alto,SI,Renovacion anual. Revisar ciclo de contrato.
Licencias SA/DV360,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,SI,Search Ads 360 / Display & Video 360.
People data fee Media,People Data Fee Media,People Data Fee,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,SI,Fee recurrente asociado a media.
MMM Lite,MMM Lite,MMM Lite,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,SI,Version ligera de MMM. Entrada al mundo Science.
MMM Marketing Mix Modeling (without data collection process),MMM Full,MMM Full,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,SI,MMM completo sin recoleccion de datos.
Nested (MMM + BEM) without Data Collection,Nested (MMM + BEM),Nested MMM+BEM,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,SI,MMM anidado con Brand Equity Model.
MIM Bayesiano,MIM Bayesiano,MIM Bayesiano,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,SI,Modelo de inversion bayesiano.
Meridian Google Founds,Meridian (Google Funds),Meridian,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,SI,Financiado por Google. Excelente puerta de entrada a Science.
Geolift,Geolift,Geolift,Measurement & Efectividad,Incrementalidad & Experimentos,CSA - Science,Proyecto,Bajo,SI,Test de incrementalidad geografica.
Investment Curves (by conversion:channel),Investment Curves,Investment Curves,Measurement & Efectividad,Curvas de Inversion,CSA - Science,Proyecto,Bajo,SI,Curvas de saturacion por canal.
Curves Base contract: 4 channels/2 updates,Curves Base Contract,Curves Base,Measurement & Efectividad,Curvas de Inversion,CSA - Science,Recurrente,Medio,SI,Contrato base con actualizaciones periodicas.
Custom Bidding,Custom Bidding,Custom Bidding,Activacion & Bidding,Bidding Avanzado,CSA - Tech,Proyecto,Medio,SI,Requiere DV360 y senales propias.
C-GenIA,C-GenIA,C-GenIA,Creative Intelligence & GenAI,Creative GenAI,CSA - Tech,Proyecto,Alto,SI,Version proyecto de generacion creativa.
C-GenIA - Basic (200 images) per month,C-GenIA Basic Mensual,C-GenIA Mensual,Creative Intelligence & GenAI,Creative GenAI,CSA - Tech,Recurrente,Medio,SI,Suscripcion mensual 200 imagenes.
C-GenIA - Basic (200 images) Annual Subscription,C-GenIA Basic Anual,C-GenIA Anual,Creative Intelligence & GenAI,Creative GenAI,CSA - Tech,Licencia,Medio,SI,Suscripcion anual 200 imagenes.
ABCD Detector - Basic (20 Videos) per month,ABCD Detector,ABCD Detector,Creative Intelligence & GenAI,Creative Analytics,CSA - Tech,Recurrente,Bajo,SI,Diagnostico de creatividades en video. Ticket bajo = buen abrepuertas.
VIGenAIr,VIGenAIr,VIGenAIr,Creative Intelligence & GenAI,Video GenAI,CSA - Tech,Proyecto,Medio,SI,Reedicion de video con GenAI.
