cuenta_normalizada,company,industria,tier_cuenta,servicio_normalizado,service_name,familia,subfamilia,pilar,modalidad,ticket_tipo,activo,grupo_sustitucion,regla_grupo,descripcion_regla,nivel,rol_en_grupo,etiqueta_rol,oportunidad_neta,cubierto_por,nivel_base,motivo_grupo,cobertura,etiqueta_cobertura,tipo_oportunidad,score,score_neto,prioridad,ranking_en_cuenta,valor_potencial_eur,valor_referencia_eur,valor_anual_eur,fuente_valor,modalidad_valor,c_demanda,c_afinidad,c_valor,c_momentum,c_adyacencia,score_base,factor_estado,factor_recencia,penetracion_pct,win_rate,momentum_pct,adopcion_industria_pct,cuentas_industria_ejecutan,cuentas_industria,basket_confianza_ejecutado,basket_lift_ejecutado,anclaje,n_pitches,n_perdidos,ultima_derrota,dias_desde_derrota,reactivable,ultimo_movimiento,motivo,accion_sugerida
Tricot,TRICOT,Retail Vestuario,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.5,58.5,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.189,1.0,1.0,0.1,58.504,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Gildemeister,GILDEMEISTER,Automotriz,Estrategica,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Tech Services Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.4,58.4,A,2.0,3814.0,3813.55,3813.55,Historico CL,Valor cerrado en Chile,0.289,0.102,1.0,0.906,1.0,58.448,1.0,1.0,6.9,0.222,81.8,0.0,0,4,0.0,0.0,misma categoria de negocio (Ad Hoc Services),0.0,0.0,,,,,"La cuenta ya compra en Ad Hoc Services, la misma categoria; servicio con demanda activa en los ultimos meses.",Upsell directo sobre la categoria que ya compra
GAES,GAES,Salud,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.3,58.3,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.179,1.0,1.0,0.1,58.257,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Reckitt,RECKITT,CPG Cuidado Personal,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.3,58.3,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.179,1.0,1.0,0.1,58.257,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Tech Services Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.0,58.0,A,3.0,3814.0,3813.55,3813.55,Historico CL,Valor cerrado en Chile,0.289,0.086,1.0,0.906,1.0,58.048,1.0,1.0,6.9,0.222,81.8,0.0,0,4,0.0,0.0,misma categoria de negocio (Ad Hoc Services),0.0,0.0,,,,,"La cuenta ya compra en Ad Hoc Services, la misma categoria; servicio con demanda activa en los ultimos meses.",Upsell directo sobre la categoria que ya compra
Enex,ENEX,Energia & Combustibles,Desarrollo,BI Services,BI Services,Tech Consulting,Ad Hoc Services,CSA - Tech,Proyecto,A cotizar,True,solo:BI Services,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,57.9,57.9,A,2.0,266.0,266.1,266.1,Historico CL,Valor cerrado en Chile,0.299,0.041,1.0,0.968,1.0,57.86,1.0,1.0,3.4,0.5,100.0,0.0,0,4,0.0,0.0,misma categoria de negocio (Ad Hoc Services),0.0,0.0,,,,,"La cuenta ya compra en Ad Hoc Services, la misma categoria; servicio con demanda activa en los ultimos meses.",Upsell directo sobre la categoria que ya compra
Telefonica,TELEFONICA,Telco,Estrategica,BI Services,BI Services,Tech Consulting,Ad Hoc Services,CSA - Tech,Proyecto,A cotizar,True,solo:BI Services,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,57.9,57.9,A,1.0,266.0,266.1,266.1,Historico CL,Valor cerrado en Chile,0.299,0.041,1.0,0.968,1.0,57.86,1.0,1.0,3.4,0.5,100.0,0.0,0,3,0.0,0.0,misma categoria de negocio (Ad Hoc Services),0.0,0.0,,,,,"La cuenta ya compra en Ad Hoc Services, la misma categoria; servicio con demanda activa en los ultimos meses.",Upsell directo sobre la categoria que ya compra
TUA,TUA,Por clasificar,Emergente,People data fee Media,People data fee Media,Tech Consulting,FTE,CSA - Tech,Recurrente,A cotizar,True,solo:People data fee Media,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,57.7,57.7,A,2.0,10879.0,10879.470000000001,10879.470000000001,Historico CL,Valor cerrado en Chile,0.565,0.116,1.0,0.928,0.6,57.707,1.0,1.0,10.3,0.667,100.0,0.0,0,1,0.0,0.0,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,Engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Cross-sell apoyado en el equipo que ya atiende la cuenta
Watts,WATTS,CPG Alimentos,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,57.4,57.4,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.147,1.0,1.0,0.1,57.427,1.0,1.0,20.7,0.75,100.0,0.0,0,2,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
TUA,TUA,Por clasificar,Emergente,BI Services,BI Services,Tech Consulting,Ad Hoc Services,CSA - Tech,Proyecto,A cotizar,True,solo:BI Services,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,57.2,57.2,A,3.0,266.0,266.1,266.1,Historico CL,Valor cerrado en Chile,0.299,0.016,1.0,0.968,1.0,57.186,1.0,1.0,3.4,0.5,100.0,0.0,0,1,0.0,0.0,misma categoria de negocio (Ad Hoc Services),0.0,0.0,,,,,"La cuenta ya compra en Ad Hoc Services, la misma categoria; servicio con demanda activa en los ultimos meses.",Upsell directo sobre la categoria que ya compra
Claro,CLARO,Telco,Estrategica,SEO,SEO,Tech Consulting,Others Units,CSA - Tech,Proyecto,A cotizar,True,solo:SEO,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,56.8,56.8,A,2.0,15497.0,15496.82,15496.82,Historico CL,Valor cerrado en Chile,0.365,0.245,1.0,0.972,0.6,56.811,1.0,1.0,3.4,0.667,100.0,33.3,1,3,0.0,0.0,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,1 de 3 cuentas de Telco ya lo ejecutan; engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Cross-sell apoyado en el equipo que ya atiende la cuenta
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,CAPI x Gateway,CAPI x Gateway by CSA - look for special ratecard,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,A cotizar,True,CAPI Implementacion,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 4 del grupo CAPI Implementacion: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,56.1,56.1,A,4.0,1100.0,1100.0,1100.0,Historico CL,Valor cerrado en Chile,0.6,0.225,1.0,0.904,0.35,56.096,1.0,1.0,6.9,1.0,100.0,50.0,2,4,0.0,0.0,mismo pilar (CSA - Tech),0.0,0.0,,,,,2 de 4 cuentas de Automotriz ya lo ejecutan; engancha por mismo pilar (CSA - Tech); servicio con demanda activa en los ultimos meses.,Elegir la variante con el cliente antes de cotizar
Cruz Verde,CRUZ VERDE,Retail Farmacia,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,56.0,56.0,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.093,1.0,1.0,0.1,56.021,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Verisure,VERISURE,Servicios Hogar & Seguridad,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,56.0,56.0,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.093,1.0,1.0,0.1,56.021,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Enex,ENEX,Energia & Combustibles,Desarrollo,ODO Basic,Online Data Optimization - Basic,Tech Consulting,GA4,CSA - Tech,Proyecto,Bajo,True,ODO,EXCLUSIVO,"Basta una variante de Online Data Optimization por cuenta: se elige segun el tipo de sitio (con e-commerce, sin e-commerce o basic). Implementar dos es trabajo duplicado sobre la misma medicion.",1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 3 del grupo ODO: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,55.6,55.6,A,3.0,3256.0,3255.83,3255.83,Historico CL,Valor cerrado en Chile,0.499,0.112,1.0,0.896,0.6,55.644,1.0,1.0,3.4,1.0,100.0,25.0,1,4,0.0,0.0,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,1 de 4 cuentas de Energia & Combustibles ya lo ejecutan; engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Elegir la variante con el cliente antes de cotizar
Telefonica,TELEFONICA,Telco,Estrategica,Licencias SA/DV360,Licencias SA/DV360,Tech Consulting,Licencias,CSA - Tech,Licencia,A cotizar,True,solo:Licencias SA/DV360,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,55.5,55.5,A,2.0,12477.0,12477.41,12477.41,Historico CL,Valor cerrado en Chile,0.499,0.15,1.0,0.805,0.6,55.524,1.0,1.0,3.4,1.0,100.0,33.3,1,3,0.0,0.0,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,1 de 3 cuentas de Telco ya lo ejecutan; engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Cross-sell apoyado en el equipo que ya atiende la cuenta
Claro,CLARO,Telco,Estrategica,CAPI x Gateway,CAPI x Gateway by CSA - look for special ratecard,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,A cotizar,True,CAPI Implementacion,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 4 del grupo CAPI Implementacion: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,55.2,55.2,A,3.0,1100.0,1100.0,1100.0,Historico CL,Valor cerrado en Chile,0.6,0.114,1.0,0.904,0.45,55.202,1.0,1.0,6.9,1.0,100.0,0.0,0,3,0.0,0.0,misma capability (Tech),0.0,0.0,,,,,Engancha por misma capability (Tech); servicio con demanda activa en los ultimos meses.,Elegir la variante con el cliente antes de cotizar
Telefonica,TELEFONICA,Telco,Estrategica,ODO E-commerce,Online Data Optimization - sites with E-commerce,Tech Consulting,GA4,CSA - Tech,Proyecto,Alto,True,ODO,EXCLUSIVO,"Basta una variante de Online Data Optimization por cuenta: se elige segun el tipo de sitio (con e-commerce, sin e-commerce o basic). Implementar dos es trabajo duplicado sobre la misma medicion.",1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 3 del grupo ODO: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,54.1,54.1,A,3.0,7336.0,7335.525,7335.525,Historico CL,Valor cerrado en Chile,0.299,0.197,1.0,0.983,0.6,54.075,1.0,1.0,3.4,0.5,100.0,33.3,1,3,0.0,0.0,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,1 de 3 cuentas de Telco ya lo ejecutan; engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Elegir la variante con el cliente antes de cotizar
