id_catalogo,pilar,scope,capability,origen,subfamilia,service_name,meses_estimados,costo_eur,min_revenue_eur,srp_eur,estado_catalogo,familia,activo,label_corto,grupo_sustitucion,nivel,modalidad,regla_grupo,descripcion_regla,es_singleton,ticket_tipo,servicio_normalizado,valor_referencia_eur,valor_anual_eur,fuente_valor,ticket_mediano_eur,n_observaciones
11,CSA - Science,CSA Science - Measurement & Attribution,Science,Latam COE,MMM,MMM Marketing Mix Modeling (without data collection process),4.0,9245.454545454544,16859.358288770054,20545.454545454544,Active,Measurement & Attribution,True,MMM Full,MMM,1,Proyecto,EXCLUSIVO,"MMM Lite, MMM completo, Nested (MMM+BEM) y Meridian son enfoques alternativos del mismo modelo de mix. Una cuenta corre un solo enfoque por ciclo.",False,Alto,MMM Full,54108.36,54108.36,Historico CL,54108.36,1
12,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,BEM,Brand Equity Model,4.0,0.0,,,Active,Measurement & Attribution,True,Brand Equity Model,solo:Brand Equity Model,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,A cotizar,Brand Equity Model,7135.8125,7135.8125,Mediana portafolio,,0
13,CSA - Science,CSA Science - Measurement & Attribution,Science,Latam COE,Nested Model,Nested (MMM + BEM) without Data Collection,8.0,14054.545454545454,25628.877005347593,31181.81818181818,Active,Measurement & Attribution,True,Nested MMM+BEM,MMM,2,Proyecto,EXCLUSIVO,"MMM Lite, MMM completo, Nested (MMM+BEM) y Meridian son enfoques alternativos del mismo modelo de mix. Una cuenta corre un solo enfoque por ciclo.",False,Alto,Nested MMM+BEM,28181.05,28181.05,Historico CL,28181.05,3
14,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Geolift,Geolift,1.0,1736.3636363636363,3166.310160427807,3909.0909090909086,Active,Measurement & Attribution,True,Geolift,Geo Incrementalidad,1,Proyecto,EXCLUSIVO,Geolift (Google) y Conversion Lift (META) miden incrementalidad geografica: se corre en la plataforma donde esta la inversion.,False,Medio,Geolift,3628.39,3628.39,Historico CL,3628.39,1
15,CSA - Science,CSA Science - Measurement & Attribution,Science,Latam COE,MMM,MMM Lite,3.0,5818.181818181818,10609.625668449196,12909.090909090908,Active,Measurement & Attribution,True,MMM Lite,MMM,1,Proyecto,EXCLUSIVO,"MMM Lite, MMM completo, Nested (MMM+BEM) y Meridian son enfoques alternativos del mismo modelo de mix. Una cuenta corre un solo enfoque por ciclo.",False,Alto,MMM Lite,16312.169999999998,16312.169999999998,Historico CL,16312.169999999998,6
16,CSA - Science,CSA Science - Creative Testing,Science,Global COE,C- Perform,C- Perform set up + 4 month access,3.0,8030.90909090909,14644.598930481283,17818.181818181816,Active,Creative Testing,True,C-Perform setup,C- Perform,1,Contrato,ESCALABLE,El set up con 4 meses de acceso es la entrada; el acceso mensual es la continuidad.,False,Alto,C-Perform setup,17818.181818181816,17818.181818181816,SRP catalogo,,0
17,CSA - Science,CSA Science - Science Consulting,Science,Global COE,C- Perform,C- Perform - monthly access,3.0,1818.181818181818,3315.508021390374,4090.9090909090905,Active,Science Consulting,True,C-Perform mensual,C- Perform,2,Mensual,ESCALABLE,El set up con 4 meses de acceso es la entrada; el acceso mensual es la continuidad.,False,Medio,C-Perform mensual,4090.9090909090905,49090.90909090909,SRP catalogo,,0
18,CSA - Science,CSA Science - Creative Testing,Science,Global COE,C- Nested,C- Nested,3.0,18365.454545454544,33489.94652406417,40727.27272727272,Active,Creative Testing,True,C- Nested,solo:C- Nested,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,C- Nested,40727.27272727272,40727.27272727272,SRP catalogo,,0
19,CSA - Tech,CSA Tech - Data Integration & Activation,Tech,Google,Data Integration,1PD Integration (until 15 sources) - Google,3.0,3363.6363636363635,6133.689839572192,7454.545454545454,Active,Data Integration & Activation,True,1PD Integration,solo:1PD Integration (until 15 sources) - Google,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,1PD Integration,12156.75,12156.75,Historico CL,12156.75,1
20,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,GA4,Online Data Optimization - Basic,3.0,1454.5454545454545,2652.406417112299,3272.7272727272725,Active,Tech Consulting,True,ODO Basic,ODO,1,Proyecto,EXCLUSIVO,"Basta una variante de Online Data Optimization por cuenta: se elige segun el tipo de sitio (con e-commerce, sin e-commerce o basic). Implementar dos es trabajo duplicado sobre la misma medicion.",False,Bajo,ODO Basic,3255.83,3255.83,Historico CL,3255.83,2
21,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,GA4,Online Data Optimization - sites without E-commerce,2.0,2181.8181818181815,3978.609625668449,4909.090909090909,Active,Tech Consulting,True,ODO sin E-commerce,ODO,1,Proyecto,EXCLUSIVO,"Basta una variante de Online Data Optimization por cuenta: se elige segun el tipo de sitio (con e-commerce, sin e-commerce o basic). Implementar dos es trabajo duplicado sobre la misma medicion.",False,Medio,ODO sin E-commerce,3709.0,3709.0,Historico CL,3709.0,1
22,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,GA4,Online Data Optimization - sites with E-commerce,4.0,3545.454545454545,6465.24064171123,7909.090909090908,Active,Tech Consulting,True,ODO E-commerce,ODO,1,Proyecto,EXCLUSIVO,"Basta una variante de Online Data Optimization por cuenta: se elige segun el tipo de sitio (con e-commerce, sin e-commerce o basic). Implementar dos es trabajo duplicado sobre la misma medicion.",False,Alto,ODO E-commerce,7335.525,7335.525,Historico CL,7335.525,4
23,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,Google,Merchant Center,MC Content API,3.0,6636.363636363636,12101.604278074865,14727.272727272726,Active,Data Management & Engineering,True,MC Content API,solo:MC Content API,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,MC Content API,14727.272727272726,14727.272727272726,SRP catalogo,,0
24,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,"CAPI via Partner Integrations (Vtex, Magento, etc.)",5.0,1363.6363636363635,2486.6310160427806,3090.9090909090905,Active,Data Management & Engineering,True,CAPI via Partner,CAPI Implementacion,1,Proyecto,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",False,Bajo,CAPI via Partner,3090.9090909090905,3090.9090909090905,SRP catalogo,,0
25,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI x Gateway by CSA - look for special ratecard,1.0,0.0,,,Active,Data Management & Engineering,True,CAPI x Gateway,CAPI Implementacion,1,Proyecto,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",False,A cotizar,CAPI x Gateway,1100.0,1100.0,Historico CL,1100.0,9
26,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI Automated Offline Integration with CRM,2.0,1636.3636363636363,2983.957219251337,3636.363636363636,Active,Data Management & Engineering,True,CAPI Offline CRM,solo:CAPI Automated Offline Integration with CRM,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,CAPI Offline CRM,4067.79,4067.79,Historico CL,4067.79,1
27,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI via CSA Gateway – 1PD Delivery,1.0,454.5454545454545,828.8770053475935,1090.9090909090908,Active,Data Management & Engineering,True,CAPI 1PD Delivery,solo:CAPI via CSA Gateway – 1PD Delivery,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,CAPI 1PD Delivery,1090.9090909090908,1090.9090909090908,SRP catalogo,,0
28,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI for Business Messaging (WhatsApp),1.0,1454.5454545454545,2652.406417112299,3272.7272727272725,Active,Data Management & Engineering,True,CAPI WhatsApp,solo:CAPI for Business Messaging (WhatsApp),1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,CAPI WhatsApp,3272.7272727272725,3272.7272727272725,SRP catalogo,,0
29,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Geo Lift,Conversion LIFT by META,1.0,909.090909090909,1657.754010695187,2090.9090909090905,Active,Data Management & Engineering,True,Conversion Lift META,Geo Incrementalidad,1,Proyecto,EXCLUSIVO,Geolift (Google) y Conversion Lift (META) miden incrementalidad geografica: se corre en la plataforma donde esta la inversion.,False,Bajo,Conversion Lift META,2090.9090909090905,2090.9090909090905,SRP catalogo,,0
30,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI via Other Partner Integrations (GTM/Tealium),1.0,2090.9090909090905,3812.83422459893,4636.363636363636,Active,Data Management & Engineering,True,CAPI via GTM/Tealium,CAPI Implementacion,1,Proyecto,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",False,Medio,CAPI via GTM/Tealium,4636.363636363636,4636.363636363636,SRP catalogo,,0
31,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI via Direct Code Integration,3.0,3090.9090909090905,5636.363636363636,6909.090909090908,Active,Data Management & Engineering,True,CAPI codigo directo,CAPI Implementacion,1,Proyecto,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",False,Alto,CAPI codigo directo,6909.090909090908,6909.090909090908,SRP catalogo,,0
32,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,Google,Data Integration,APIs Public,2.0,1090.9090909090908,1989.3048128342245,2454.5454545454545,Active,Data Management & Engineering,True,APIs Public,solo:APIs Public,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,APIs Public,2454.5454545454545,2454.5454545454545,SRP catalogo,,0
33,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,APIs Administration,Data Integration,APIs Private,2.0,1545.4545454545453,2818.181818181818,3454.545454545454,Active,Data Management & Engineering,True,APIs Private,solo:APIs Private,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,APIs Private,3454.545454545454,3454.545454545454,SRP catalogo,,0
34,CSA - Tech,CSA Tech - Tech Consulting,Tech,Latam COE,Training - GMP,Google Analytics 4 (5x sessions),1.0,545.4545454545454,994.6524064171123,1272.7272727272725,Active,Tech Consulting,True,Training GA4,solo:Google Analytics 4 (5x sessions),1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Training GA4,1272.7272727272725,1272.7272727272725,SRP catalogo,,0
35,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,App Measurement,Full Value of Web And App,3.0,545.4545454545454,994.6524064171123,1272.7272727272725,Active,Tech Consulting,True,Full Value Web & App,solo:Full Value of Web And App,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Full Value Web & App,1272.7272727272725,1272.7272727272725,SRP catalogo,,0
36,CSA - Tech,CSA Tech - Tech Consulting,Tech,Latam COE,Training - GMP,LookerStudio (5x 1‑hour sessions each),2.0,545.4545454545454,994.6524064171123,1272.7272727272725,Active,Tech Consulting,True,Training LookerStudio,solo:LookerStudio (5x 1‑hour sessions each),1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Training LookerStudio,1272.7272727272725,1272.7272727272725,SRP catalogo,,0
37,CSA - Tech,CSA Tech - Tech Consulting,Tech,Latam COE,Training - Cloud,GCP + BQ (5x 1‑hour sessions each),2.0,545.4545454545454,994.6524064171123,1272.7272727272725,Active,Tech Consulting,True,Training GCP+BQ,solo:GCP + BQ (5x 1‑hour sessions each),1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Training GCP+BQ,1272.7272727272725,1272.7272727272725,SRP catalogo,,0
38,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Custom Bidding,Custom Bidding,2.0,909.090909090909,1657.754010695187,2090.9090909090905,Active,Tech Consulting,True,Custom Bidding,solo:Custom Bidding,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Custom Bidding,6936.1,6936.1,Historico CL,6936.1,1
39,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Audience Strategy,Audience Strategy,2.0,2545.454545454545,4641.711229946523,5636.363636363636,Active,Tech Consulting,True,Audience Strategy,solo:Audience Strategy,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,Audience Strategy,5636.363636363636,5636.363636363636,SRP catalogo,,0
41,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Omnichannel Optimization,OO: Conv Offline CRM,3.0,5090.90909090909,9283.422459893047,11272.727272727272,Active,Tech Consulting,True,OO Conv Offline CRM,Conversiones Offline Google,1,Proyecto,EXCLUSIVO,Subir conversiones offline desde CRM o desde BBDD es la misma integracion por dos fuentes.,False,Alto,OO Conv Offline CRM,11272.727272727272,11272.727272727272,SRP catalogo,,0
42,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Omnichannel Optimization,OO: Conv Offline BBDD,3.0,5999.999999999999,10941.176470588234,13363.636363636362,Active,Tech Consulting,True,OO Conv Offline BBDD,Conversiones Offline Google,1,Proyecto,EXCLUSIVO,Subir conversiones offline desde CRM o desde BBDD es la misma integracion por dos fuentes.,False,Alto,OO Conv Offline BBDD,13363.636363636362,13363.636363636362,SRP catalogo,,0
44,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,Google,Feed Optimization,Shopping Insider / Feed AI,2.0,909.090909090909,1657.754010695187,2090.9090909090905,Active,Data Management & Engineering,True,Shopping Insider,Shopping Feed,2,Proyecto,EXCLUSIVO,Shopping Insider Clasic quedo reemplazado por Shopping Insider / Feed AI.,False,Bajo,Shopping Insider,3976.3450000000003,3976.3450000000003,Historico CL,3976.3450000000003,2
45,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Convertion Rate Optimization,Conversión Optimizer UX-UI,3.0,4454.545454545454,8122.994652406417,9909.090909090908,Active,Tech Consulting,True,CRO UX-UI,solo:Conversión Optimizer UX-UI,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,CRO UX-UI,9909.090909090908,9909.090909090908,SRP catalogo,,0
46,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,AI Recomendations,Retail Discovery AI,2.0,2363.6363636363635,4310.1604278074865,5272.727272727272,Active,Tech Consulting,True,Retail Discovery AI,solo:Retail Discovery AI,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,Retail Discovery AI,5272.727272727272,5272.727272727272,SRP catalogo,,0
47,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,E-retailers,Co-Op 4 All,2.0,1818.181818181818,3315.508021390374,4090.9090909090905,Active,Tech Consulting,True,Co-Op 4 All,solo:Co-Op 4 All,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,Co-Op 4 All,4090.9090909090905,4090.9090909090905,SRP catalogo,,0
48,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Dynamic Conversion Optimization,DCO Basic,4.0,818.1818181818181,1491.9786096256685,1818.181818181818,Active,Tech Consulting,True,DCO Basic,DCO,1,Proyecto,ESCALABLE,"Dynamic Conversion Optimization Basic / Intermediate / Advanced: es una escalera de sofisticacion, no tres productos.",False,Bajo,DCO Basic,1818.181818181818,1818.181818181818,SRP catalogo,,0
49,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Dynamic Conversion Optimization,DCO Intermediate,5.0,1454.5454545454545,2652.406417112299,3272.7272727272725,Active,Tech Consulting,True,DCO Intermediate,DCO,2,Proyecto,ESCALABLE,"Dynamic Conversion Optimization Basic / Intermediate / Advanced: es una escalera de sofisticacion, no tres productos.",False,Bajo,DCO Intermediate,3272.7272727272725,3272.7272727272725,SRP catalogo,,0
50,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Dynamic Conversion Optimization,DCO Advanced,7.0,1909.090909090909,3481.283422459893,4272.727272727272,Active,Tech Consulting,True,DCO Advanced,DCO,3,Proyecto,ESCALABLE,"Dynamic Conversion Optimization Basic / Intermediate / Advanced: es una escalera de sofisticacion, no tres productos.",False,Medio,DCO Advanced,4272.727272727272,4272.727272727272,SRP catalogo,,0
52,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,AI Content Creation,Topic Mine,2.0,2090.9090909090905,3812.83422459893,4636.363636363636,Active,Tech Consulting,True,Topic Mine,Topic Mine,1,Proyecto,EXCLUSIVO,Topic Mine y Topic Mind + DCO son el mismo motor con distinto empaque.,False,Medio,Topic Mine,4636.363636363636,4636.363636363636,SRP catalogo,,0
55,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Data Clean Rooms,Data Clean Rooms (AdsDataHub),3.0,3999.9999999999995,7294.117647058823,8909.090909090908,Active,Tech Consulting,True,Data Clean Rooms,solo:Data Clean Rooms (AdsDataHub),1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,Data Clean Rooms,8909.090909090908,8909.090909090908,SRP catalogo,,0
56,CSA - Tech,CSA Tech - Tech Consulting,Tech,Tik Tok,Server Side Solutions,TIK TOK Server Side,2.0,1818.181818181818,3315.508021390374,4090.9090909090905,Active,Tech Consulting,True,TIK TOK Server Side,solo:TIK TOK Server Side,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,TIK TOK Server Side,4090.9090909090905,4090.9090909090905,SRP catalogo,,0
57,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Google Consent Mode,Google Consent Mode (must include a CPM),1.0,1545.4545454545453,2818.181818181818,3454.545454545454,Active,Tech Consulting,True,Google Consent Mode,solo:Google Consent Mode (must include a CPM),1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,Google Consent Mode,3454.545454545454,3454.545454545454,SRP catalogo,,0
58,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,AI Content Creation,VIGenAIr,1.0,2909.090909090909,5304.812834224598,6454.545454545454,Active,Tech Consulting,True,VIGenAIr,solo:VIGenAIr,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,VIGenAIr,4944.58,4944.58,Historico CL,4944.58,1
59,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Enhance Conversions,Performance Powered Conversions (ECL),2.0,1090.9090909090908,1989.3048128342245,2454.5454545454545,Active,Tech Consulting,True,Perf. Powered Conv.,solo:Performance Powered Conversions (ECL),1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Perf. Powered Conv.,1960.8000000000002,1960.8000000000002,Historico CL,1960.8000000000002,4
60,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Campaign Automation,Value Centric Measurement,2.0,727.2727272727273,1326.2032085561495,1636.3636363636363,Active,Tech Consulting,True,Value Centric Measurement,solo:Value Centric Measurement,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Value Centric Measurement,1636.3636363636363,1636.3636363636363,SRP catalogo,,0
61,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Whatsapp - Measurement,Whatsapp Conversions Import,2.0,818.1818181818181,1491.9786096256685,1818.181818181818,Active,Tech Consulting,True,Whatsapp Conversions Impo.,solo:Whatsapp Conversions Import,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Whatsapp Conversions Impo.,1818.181818181818,1818.181818181818,SRP catalogo,,0
62,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,App Measurement,Appcellence,2.0,1272.7272727272725,2320.8556149732617,2818.181818181818,Active,Tech Consulting,True,Appcellence,solo:Appcellence,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Appcellence,2818.181818181818,2818.181818181818,SRP catalogo,,0
63,CSA - Tech,CSA Tech - Tech Consulting,Creative Tech,Google,AI Video,ABCD Detector (Google implementation),12.0,2727.0,6091.0,6091.0,Active,Tech Consulting,True,ABCD Detector (Google),ABCD Detector,2,Proyecto,ESCALABLE,Escalones de volumen de video (Basic 20 / Pro 100 / Enterprise 500) y de facturacion. Mismo criterio que C-GenIA.,False,Alto,ABCD Detector (Google),6091.0,6091.0,SRP catalogo,,0
64,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Predictive Models,Advanced Predictive Leads Value,2.0,1454.5454545454545,2652.406417112299,3272.7272727272725,Active,Tech Consulting,True,Predictive Leads Value,solo:Advanced Predictive Leads Value,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Predictive Leads Value,3272.7272727272725,3272.7272727272725,SRP catalogo,,0
65,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Predictive Models,Crystal Value,2.0,1454.5454545454545,2652.406417112299,3272.7272727272725,Active,Tech Consulting,True,Crystal Value,solo:Crystal Value,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Crystal Value,3272.7272727272725,3272.7272727272725,SRP catalogo,,0
66,CSA - Tech,CSA Tech - Tech Consulting,Tech,Google,Predictive Models,Future Customer Values,2.0,909.090909090909,1657.754010695187,2090.9090909090905,Active,Tech Consulting,True,Future Customer Values,solo:Future Customer Values,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,Future Customer Values,2090.9090909090905,2090.9090909090905,SRP catalogo,,0
67,CSA - Tech,CSA Tech - Tech Consulting,Tech,META,Campaign Automation,META Campaign upload automation,2.0,2999.9999999999995,5470.588235294117,6727.272727272727,Active,Tech Consulting,True,META Campaign upload auto.,solo:META Campaign upload automation,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,META Campaign upload auto.,6727.272727272727,6727.272727272727,SRP catalogo,,0
68,CSA - Science,CSA Science - Creative Testing,Creative Tech,Latam COE,AI Content Creation,C-GenIA,3.0,0.0,,,Inactive,Creative Testing,False,C-GenIA,C-GenIA,2,Proyecto,ESCALABLE,Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos.,False,A cotizar,C-GenIA,18305.05,18305.05,Historico CL,18305.05,4
76,CSA - Tech,CSA Tech - Tech Consulting,Tech,Latam COE,Ad Hoc Services,Tech Services Ad Hoc,,0.0,,,Active,Tech Consulting,True,Tech Services Ad Hoc,solo:Tech Services Ad Hoc,1,Recurrente,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,A cotizar,Tech Services Ad Hoc,3813.55,3813.55,Historico CL,3813.55,11
77,CSA - Science,CSA Science - Science Consulting,Science,Global COE,Ad Hoc Services,Science Ad Hoc,,0.0,,,Active,Science Consulting,True,Science Ad Hoc,solo:Science Ad Hoc,1,Recurrente,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,A cotizar,Science Ad Hoc,30377.18,30377.18,Historico CL,30377.18,1
