id_pitch,company,cuenta_normalizada,industria,grupo_economico,tier_cuenta,nombre_pitch,service_name,servicio_normalizado,label_corto,familia,subfamilia,capability,origen,pilar,pilar_crm,discrepancia_pilar,modalidad,ticket_tipo,grupo_sustitucion,regla_grupo,nivel,srp_eur,activo,fase_cruda,estado,categoria,orden_estado,es_abierto,fecha_brief,fecha_resolucion,fecha_referencia,anio,trimestre,moneda_local,precio_moneda_local,tasa_cambio,precio_eur,costo_csa,bonificado,contacto,comentarios
P0082,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: FEE SA360 2026 - Chile,Licencias SA/DV360,Licencias SA/DV360,Licencias SA/DV360,Tech Consulting,Licencias,Consulting,Google,CSA - Tech,CSA - Tech,False,Licencia,A cotizar,solo:Licencias SA/DV360,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-02-11,2026-02-28,2026-02-28,2026,2026Q1,CLP,22376953.0,1185.1,18881.91,,False,,CAMILA LEAL
P0063,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Licencia GA4 360 2026 - Chile,Licencias GA4 360,Licencias GA4 360,Licencias GA4 360,Tech Consulting,Licencias,Consulting,Google,CSA - Tech,CSA - Tech,False,Licencia,A cotizar,solo:Licencias GA4 360,ACUMULABLE,1,,True,2.Prospecting,Prospectado,ABIERTO,4,True,2026-04-01,,2026-04-01,2026,2026Q2,CLP,30000000.0,1185.1,25314.32,,False,Pablo Lavin,CAMILA LEAL
P0064,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Google Tech 2026 - Chile,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Consulting,Ad Hoc Services,Tech,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Tech Services Ad Hoc,ACUMULABLE,1,,True,5.Pitching,En pitch,ABIERTO,2,True,2026-04-01,,2026-04-01,2026,2026Q2,CLP,29210706.0,1185.1,24648.3,,False,Alejandro Levy,CAMILA LEAL
P0065,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Dashboard + Licencia SEO 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-04-01,2026-04-13,2026-04-13,2026,2026Q2,CLP,5400000.0,1185.1,4556.58,,False,Pablo Lavin,CAMILA LEAL
P0060,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Actualización de Nested Movil 2026 - Chile,Nested (MMM + BEM) without Data Collection,Nested MMM+BEM,Nested MMM+BEM,Measurement & Attribution,Nested Model,Science,Latam COE,CSA - Science,CSA - Science,False,Proyecto,Alto,MMM,EXCLUSIVO,2,31181.81818181818,True,8.On Hold,En pausa,ABIERTO,3,True,2026-03-23,2026-04-17,2026-04-17,2026,2026Q2,CLP,21707623.0,1185.1,18317.12,13102.0,,German Ausensi,CAMILA LEAL
P0028,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: MIM 2026 - Chile,MIM Bayesiano,MIM Bayesiano,MIM Bayesiano,Measurement & Attribution,Attribution,Science,Global COE,CSA - Science,CSA - Science,False,Proyecto,Alto,Atribucion Digital,EXCLUSIVO,1,40000.0,True,10.Lost,Perdido,PERDIDO,6,False,2026-06-05,2026-06-05,2026-06-05,2026,2026Q2,CLP,47303472.0,1185.1,39915.17,16803.0,,Alejandro Levy,CAMILA LEAL
P0048,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: Consultoría Analítica 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-01-01,2026-01-01,2026-01-01,2026,2026Q1,CLP,5021600.0,1185.1,4237.28,,,Natalia Briones,"<span style=""color:rgb(51, 51, 51);"">CAROLINA CABRERA</span>"
P0049,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: Herramienta de auditoría 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2026-01-01,2026-01-01,2026-01-01,2026,2026Q1,CLP,2765460.0,1185.1,2333.52,,,Natalia Briones,OLGA OCHOA
P0087,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: BI Analytics 2025 - Chile,BI Services,BI Services,BI Services,Tech Consulting,Ad Hoc Services,BI Services,Latam COE,CSA - Tech,CSA - Science,True,Proyecto,A cotizar,solo:BI Services,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2026-03-06,2026-03-05,2026-03-05,2026,2026Q1,CLP,3197534.0,1185.1,2698.11,,False,,"<span style=""color:rgb(51, 51, 51);"">CAROLINA CABRERA</span>"
P0067,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: LICENCIA GA360 2025 - Chile,Licencias GA4 360,Licencias GA4 360,Licencias GA4 360,Tech Consulting,Licencias,Consulting,Google,CSA - Tech,CSA - Tech,False,Licencia,A cotizar,solo:Licencias GA4 360,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2026-03-06,2026-04-27,2026-04-27,2026,2026Q2,CLP,30129600.0,1185.1,25423.68,,False,,OLGA OCHOA
P0088,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: Advance Analytics 2026 - Chile,Online Data Optimization - Basic,ODO Basic,ODO Basic,Tech Consulting,GA4,Tech,Google,CSA - Tech,CSA - Tech,False,Proyecto,Bajo,ODO,EXCLUSIVO,1,3272.7272727272725,True,6.Won,Ganado,GANADO,1,False,2026-03-06,2026-05-03,2026-05-03,2026,2026Q2,CLP,3197534.0,1185.1,2698.11,1455.0,False,,CAROLINA CABRERA
P0043,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: Pivoty 2026 - Chile,C-GenIA - Basic (200 images) per month,C-GenIA Basic Mensual,C-GenIA Basic Mensual,Platform Management & Operation,AI Content Creation,Tech,Latam COE,CSA - Tech,CSA - Tech,False,Mensual,Bajo,C-GenIA,ESCALABLE,1,1636.3636363636363,True,5.Pitching,En pitch,ABIERTO,2,True,2026-05-20,2026-05-20,2026-05-20,2026,2026Q2,CLP,11449248.0,1185.1,9661.0,665.0,,Natalia Briones,"<span style=""color:rgb(51, 51, 51);"">CAROLINA CABRERA</span>"
P0014,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: Ajuste Data layer 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,5.Pitching,En pitch,ABIERTO,2,True,2026-07-20,2026-07-21,2026-07-21,2026,2026Q3,CLP,1000000.0,1185.1,843.81,,,Natalia Briones,VICTORIA GIL
P0003,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: Advanced Analytics + A/B Test 2026 - Chile,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Consulting,Ad Hoc Services,Tech,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Tech Services Ad Hoc,ACUMULABLE,1,,True,8.On Hold,En pausa,ABIERTO,3,True,2026-08-17,2026-08-25,2026-08-25,2026,2026Q3,CLP,4519440.0,1185.1,3813.55,,False,Natalia Briones,
P0004,COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,COPEC FLUX: Horas Consulting 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-08-17,2026-08-25,2026-08-25,2026,2026Q3,CLP,2671491.0,1185.1,2254.23,,,Natalia Briones,
P0008,CRUZ VERDE,Cruz Verde,Retail Farmacia,SIF,Emergente,CRUZ VERDE: 5 MMM Full 2026 - Chile,MMM Marketing Mix Modeling (without data collection process),MMM Full,MMM Full,Measurement & Attribution,MMM,Science,Latam COE,CSA - Science,CSA - Science,False,Proyecto,Alto,MMM,EXCLUSIVO,1,20545.454545454544,True,2.Prospecting,Prospectado,ABIERTO,4,True,2026-08-05,2026-08-05,2026-08-05,2026,2026Q3,CLP,64123823.0,1185.1,54108.36,,,-,GONZALO PARRA
P0002,DECATHLON,Decathlon,Retail Deportes,Decathlon,Emergente,DECATHLON: Servicio de Social Listening 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,5.Pitching,En pitch,ABIERTO,2,True,2026-08-27,2026-08-27,2026-08-27,2026,2026Q3,CLP,3834000.0,1185.1,3235.17,,,Paula Ramos,ALEJANDRA ULLOA
P0108,ENEX,Enex,Energia & Combustibles,Quinenco,Desarrollo,ENEX: Marcaje Avanzado App Micopiloto 2025 - Chile,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Consulting,Ad Hoc Services,Tech,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Tech Services Ad Hoc,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2025-06-16,2025-08-30,2025-08-30,2025,2025Q3,CLP,4931737.0,1185.1,4161.45,,False,,ALEJANDRA ULLOA
P0092,ENEX,Enex,Energia & Combustibles,Quinenco,Desarrollo,ENEX: Perfil de negocio 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-02-11,2026-01-01,2026-01-01,2026,2026Q1,CLP,973267.0,1185.1,821.25,,False,,ALEJANDRA ULLOA
P0001,ENEX,Enex,Energia & Combustibles,Quinenco,Desarrollo,ENEX: Servicio de Social Listening 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,5.Pitching,En pitch,ABIERTO,2,True,2026-08-27,2026-08-27,2026-08-27,2026,2026Q3,CLP,3834000.0,1185.1,3235.17,,,-,ALEJANDRA ULLOA
P0017,ESCUELA DE COMERCIO Y SERVICIO,Escuela de Comercio y Servicio,Educacion,Independiente,Emergente,ESCUELA DE COMERCIO Y SERVICIO: Validación y conciliación de inversión 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,5.Pitching,En pitch,ABIERTO,2,True,2026-07-17,2026-07-17,2026-07-17,2026,2026Q3,CLP,15194262.0,1185.1,12821.08,,,Fernando Martinez,GONZALO PARRA
P0041,ESMAX,Esmax,Energia & Combustibles,Esmax,Desarrollo,ESMAX: Tech & Analytics Specialist Local 2026 - Chile,People data fee Media,People data fee Media,People data fee Media,Tech Consulting,FTE,BI Services,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:People data fee Media,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2026-05-11,2026-01-01,2026-01-01,2026,2026Q1,CLP,5493384.0,1185.1,4635.38,,,Nicole Pauliac,CAROLA OYARZO
P0093,ESMAX,Esmax,Energia & Combustibles,Esmax,Desarrollo,ESMAX: MMM Aramco 2025 - Chile,MMM Lite,MMM Lite,MMM Lite,Measurement & Attribution,MMM,Science,Latam COE,CSA - Science,CSA - Science,False,Proyecto,Alto,MMM,EXCLUSIVO,1,12909.090909090908,True,6.Won,Ganado,GANADO,1,False,2026-01-28,2026-02-04,2026-02-04,2026,2026Q1,CLP,14663101.0,1185.1,12372.88,5818.0,False,,CAROLA OYARZO
P0052,ESMAX,Esmax,Energia & Combustibles,Esmax,Desarrollo,ESMAX: ABCD Detector ARAMCO 2026 - Chile,ABCD Detector - Basic (20 Videos) per month,ABCD Basic Mensual,ABCD Basic Mensual,Tech Consulting,AI Video,Creative Tech,Latam COE,CSA - Tech,CSA - Tech,False,Mensual,Bajo,ABCD Detector,ESCALABLE,1,636.3636363636363,True,2.Prospecting,Prospectado,ABIERTO,4,True,2026-03-30,2026-04-30,2026-04-30,2026,2026Q2,CLP,4200000.0,1185.1,3544.0,251.0,,Nicole Pauliac,CAROLA OYARZO
P0039,ESMAX,Esmax,Energia & Combustibles,Esmax,Desarrollo,ESMAX: Pivoty 2026 - Chile,C-GenIA - Basic (200 images) per month,C-GenIA Basic Mensual,C-GenIA Basic Mensual,Platform Management & Operation,AI Content Creation,Tech,Latam COE,CSA - Tech,CSA - Tech,False,Mensual,Bajo,C-GenIA,ESCALABLE,1,1636.3636363636363,True,10.Lost,Perdido,PERDIDO,6,False,2026-05-20,2026-05-20,2026-05-20,2026,2026Q2,CLP,11449248.0,1185.1,9661.0,665.0,,Francisca Rojas,CAROLA OYARZO
P0042,ESMAX,Esmax,Energia & Combustibles,Esmax,Desarrollo,ESMAX: Data Analyst Local 2026 - Chile,People data fee Media,People data fee Media,People data fee Media,Tech Consulting,FTE,BI Services,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:People data fee Media,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2026-05-11,2026-07-01,2026-07-01,2026,2026Q3,CLP,4826271.0,1185.1,4072.46,,,Nicole Pauliac,CAROLA OYARZO
P0107,ESMAX,Esmax,Energia & Combustibles,Esmax,Desarrollo,ESMAX: Panel de GMB 2025 - Chile,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Consulting,Ad Hoc Services,Tech,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Tech Services Ad Hoc,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2025-07-25,2026-07-20,2026-07-20,2026,2026Q3,CLP,2949824.0,1185.1,2489.09,,False,,CAROLA OYARZO
P0094,GAES,GAES,Salud,Amplifon,Emergente,GAES: Servicio SEO 2025 - Chile,SEO,SEO,SEO,Tech Consulting,Others Units,SEO,Latam COE,CSA - Tech,CSA - Tech,False,Proyecto,A cotizar,solo:SEO,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2025-12-05,2025-12-30,2025-12-30,2025,2025Q4,CLP,49651344.0,1185.1,41896.33,,False,,VICTORIA GIL
P0040,GASCO,Gasco,Energia & Combustibles,Gasco,Emergente,GASCO: Pivoty 2026 - Chile,C-GenIA - Basic (200 images) per month,C-GenIA Basic Mensual,C-GenIA Basic Mensual,Platform Management & Operation,AI Content Creation,Tech,Latam COE,CSA - Tech,CSA - Tech,False,Mensual,Bajo,C-GenIA,ESCALABLE,1,1636.3636363636363,True,2.Prospecting,Prospectado,ABIERTO,4,True,2026-05-20,2026-05-20,2026-05-20,2026,2026Q2,CLP,11449248.0,1185.1,9661.0,665.0,,-,ALEJANDRA ULLOA
P0106,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: Creative GenAI 2025 - Chile,C-GenIA,C-GenIA,C-GenIA,Creative Testing,AI Content Creation,Creative Tech,Latam COE,CSA - Science,CSA - Tech,True,Proyecto,A cotizar,C-GenIA,ESCALABLE,2,,False,10.Lost,Perdido,PERDIDO,6,False,2025-08-11,2025-12-27,2025-12-27,2025,2025Q4,CLP,21693312.0,1185.1,18305.05,,False,,CAROLINA CABRERA
P0077,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: CAPI: JAC 2025 - Chile,CAPI x Gateway by CSA - look for special ratecard,CAPI x Gateway,CAPI x Gateway,Data Management & Engineering,Server Side Solutions,Tech,META,CSA - Tech,CSA - Tech,False,Proyecto,A cotizar,CAPI Implementacion,EXCLUSIVO,1,,True,6.Won,Ganado,GANADO,1,False,2026-02-11,2026-01-01,2026-01-01,2026,2026Q1,CLP,2350109.0,1185.1,1983.05,,False,,ALEJANDRA ULLOA
P0078,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: CAPI Hyundai 2025 - Chile,CAPI x Gateway by CSA - look for special ratecard,CAPI x Gateway,CAPI x Gateway,Data Management & Engineering,Server Side Solutions,Tech,META,CSA - Tech,CSA - Tech,False,Proyecto,A cotizar,CAPI Implementacion,EXCLUSIVO,1,,True,6.Won,Ganado,GANADO,1,False,2026-02-11,2026-01-01,2026-01-01,2026,2026Q1,CLP,2350109.0,1185.1,1983.05,,False,,CAROLINA CABRERA
P0071,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: MMM Lite HYUNDAI 2025 - Chile,MMM Lite,MMM Lite,MMM Lite,Measurement & Attribution,MMM,Science,Latam COE,CSA - Science,CSA - Science,False,Proyecto,Alto,MMM,EXCLUSIVO,1,12909.090909090908,True,10.Lost,Perdido,PERDIDO,6,False,2026-02-24,2026-02-24,2026-02-24,2026,2026Q1,CLP,11706480.0,1185.1,9878.05,5818.0,False,,JOSE VALDES
P0072,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: MMM Lite JAC 2025 - Chile,MMM Lite,MMM Lite,MMM Lite,Measurement & Attribution,MMM,Science,Latam COE,CSA - Science,CSA - Science,False,Proyecto,Alto,MMM,EXCLUSIVO,1,12909.090909090908,True,10.Lost,Perdido,PERDIDO,6,False,2026-02-24,2026-02-24,2026-02-24,2026,2026Q1,CLP,11706480.0,1185.1,9878.05,5818.0,False,,ALEJANDRA ULLOA
P0089,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: Training GA4 2025 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-02-25,2026-02-25,2026-02-25,2026,2026Q1,CLP,1800000.0,1185.1,1518.86,,False,,CAROLINA CABRERA
P0061,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: Licencia GA360,Licencias GA4 360,Licencias GA4 360,Licencias GA4 360,Tech Consulting,Licencias,Consulting,Google,CSA - Tech,CSA - Tech,False,Licencia,A cotizar,solo:Licencias GA4 360,ACUMULABLE,1,,True,2.Prospecting,Prospectado,ABIERTO,4,True,2026-04-01,,2026-04-01,2026,2026Q2,CLP,30000000.0,1185.1,25314.32,,False,Nicolas Baldwin,ALEJANDRA ULLOA
P0059,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: SEO Local 2026 - Chile,SEO,SEO,SEO,Tech Consulting,Others Units,SEO,Latam COE,CSA - Tech,CSA - Tech,False,Proyecto,A cotizar,solo:SEO,ACUMULABLE,1,,True,8.On Hold,En pausa,ABIERTO,3,True,2026-03-19,2026-04-13,2026-04-13,2026,2026Q2,CLP,18730568.0,1185.1,15805.05,,,Javiera Carmona,ALEJANDRA ULLOA
P0034,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: Advanced analytics GAC 2026 - Chile,Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,Consulting,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-05-27,2026-06-10,2026-06-10,2026,2026Q2,CLP,1506480.0,1185.1,1271.18,,,Jaime Valdes,"<span style=""color:rgb(51, 51, 51);"">CAROLINA CABRERA</span>"
P0035,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: Enhanced conversions GAC 2026 - Chile,Performance Powered Conversions (ECL),Perf. Powered Conv.,Perf. Powered Conv.,Tech Consulting,Enhance Conversions,Tech,Google,CSA - Tech,CSA - Tech,False,Proyecto,Bajo,solo:Performance Powered Conversions (ECL),ACUMULABLE,1,2454.5454545454545,True,6.Won,Ganado,GANADO,1,False,2026-05-07,2026-06-10,2026-06-10,2026,2026Q2,CLP,903888.0,1185.1,762.71,1017.0,,Jaime Valdes,"<span style=""color:rgb(51, 51, 51);"">CAROLINA CABRERA</span>"
P0036,GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,GILDEMEISTER: CAPI GAC 2026 - Chile,CAPI x Gateway by CSA - look for special ratecard,CAPI x Gateway,CAPI x Gateway,Data Management & Engineering,Server Side Solutions,Tech,META,CSA - Tech,CSA - Tech,False,Proyecto,A cotizar,CAPI Implementacion,EXCLUSIVO,1,,True,6.Won,Ganado,GANADO,1,False,2026-05-07,2026-06-10,2026-06-10,2026,2026Q2,CLP,711059.0,1185.1,600.0,,,Jaime Valdes,"<span style=""color:rgb(51, 51, 51);"">CAROLINA CABRERA</span>"
